id,game_id,round,vote_type,phase,voter_label,target_label,at
5a8c553a-5834-472e-9600-0d8a4c500ebd,6,1,life_vote,lifeVote,E,E,2026-08-28T08:29:01.857566+00:00
6fe897b1-131d-4354-998b-13ce20480603,6,1,life_vote,lifeVote,V,W,2026-08-28T08:29:02.175126+00:00
b5a05850-c296-4470-8bca-fb46263bf35e,6,1,life_vote,lifeVote,F,W,2026-08-28T08:29:02.278738+00:00
99e3584f-3b23-4ff2-8be4-09ae099aec34,7,1,liar_vote,debate,U,F,2026-08-31T02:25:46.982292+00:00
70867c58-8b07-4958-b690-7051ba7fed7d,7,1,liar_vote,debate,K,H,2026-08-31T02:26:08.835446+00:00
0cf41546-f258-45bf-93f7-5cb91d829151,7,1,liar_vote,debate,H,F,2026-08-31T02:27:38.17688+00:00
b6eba921-d98a-4d9a-9ab1-af741b6e2aed,7,1,life_vote,lifeVote,U,F,2026-08-31T02:28:38.477373+00:00
1fcaf156-33e8-4b12-b726-d8f46a6b2fa9,7,1,life_vote,lifeVote,K,K,2026-08-31T02:28:41.68323+00:00
ca4e8b1e-34b3-4c82-8df1-44180989227b,7,1,life_vote,lifeVote,H,H,2026-08-31T02:28:43.140597+00:00
c469dd1b-0468-41a8-9432-a0db1afcbf16,7,2,liar_vote,debate,K,H,2026-08-31T02:28:56.259438+00:00
50cf3187-6354-4ce0-a6e7-deb459e3c3f5,7,2,liar_vote,debate,U,H,2026-08-31T02:29:07.959467+00:00
b90aee23-102a-4533-a19a-02d72c2c6dc8,7,2,liar_vote,debate,F,H,2026-08-31T02:29:09.808768+00:00
4ccc3710-8544-404a-ae08-463f3da7003f,7,2,liar_vote,debate,K,U,2026-08-31T02:29:37.355616+00:00
e012bc3b-1c94-4f47-b4af-3d94511e8605,7,2,liar_vote,debate,H,U,2026-08-31T02:29:41.14049+00:00
04970f58-c68e-4c09-827f-228bab6f8a51,7,2,liar_vote,debate,F,U,2026-08-31T02:29:44.43836+00:00
14a4a1d9-5af0-4c34-9f4f-ab2cbb7d22bd,7,2,life_vote,lifeVote,F,U,2026-08-31T02:31:51.958908+00:00
97d45dc7-a714-41b9-b39b-4f43afe5a890,7,2,life_vote,lifeVote,K,U,2026-08-31T02:31:52.914342+00:00
c7b6fac0-5082-43bb-b8a7-007ca6f3667a,8,1,liar_vote,debate,L,P,2026-08-31T02:39:31.647054+00:00
04684f5c-5869-4925-9479-08d1ca04d352,8,1,liar_vote,debate,P,Y,2026-08-31T02:39:37.231088+00:00
b7906082-6a7e-4145-9e2d-8769db54b144,8,1,liar_vote,debate,Y,P,2026-08-31T02:40:14.158802+00:00
fc8d8955-5dbc-4803-8115-1eca86ad0429,8,1,liar_vote,debate,X,P,2026-08-31T02:40:57.721834+00:00
c3a62a07-4a97-42f8-907a-736b7e1fb7f0,8,1,life_vote,lifeVote,L,P,2026-08-31T02:42:19.311575+00:00
ccfb7b02-d247-4009-8e60-540fe9fe7b0f,8,1,life_vote,lifeVote,Y,P,2026-08-31T02:42:19.997756+00:00
7fddfe8c-6603-45b6-999b-2d788712d97c,8,1,life_vote,lifeVote,X,X,2026-08-31T02:42:22.381595+00:00
f5f7ff54-da21-4306-9bd2-2e4e38b71db1,10,1,liar_vote,debate,I,D,2026-08-31T05:31:20.656867+00:00
7305f9e7-7c5e-476b-a418-8f86af971317,10,1,liar_vote,debate,Q,D,2026-08-31T05:31:25.444524+00:00
76fdabfc-e838-410b-8700-6869c75256f1,10,1,liar_vote,debate,Q,D,2026-08-31T05:31:30.299606+00:00
2eceb4c2-d0a2-43a4-b7f0-0332f9c5a0f7,10,1,liar_vote,debate,M,D,2026-08-31T05:31:31.750932+00:00
ee238e4d-5357-4e26-8d41-90e275457142,10,1,liar_vote,debate,Q,D,2026-08-31T05:31:33.832864+00:00
a2705b58-9d4d-4f67-999f-a95e8ce07555,10,1,life_vote,lifeVote,I,D,2026-08-31T05:32:50.80528+00:00
ec37129c-7c62-4524-8b0c-fae40bfba235,10,1,life_vote,lifeVote,Q,D,2026-08-31T05:32:51.953902+00:00
56242a0a-7907-4f04-a66b-f9b32c485fd2,10,1,life_vote,lifeVote,M,D,2026-08-31T05:32:53.314184+00:00
